anomaly,date
-0.479,1872/03/01
-0.147,1872/04/01
-0.042,1872/05/01
-0.19,1872/06/01
-0.105,1872/07/01
-0.026,1872/08/01
-0.125,1872/09/01
-0.225,1872/10/01
-0.26,1872/11/01
-0.432,1872/12/01
-0.018,1873/01/01
-0.349,1873/02/01
-0.282,1873/03/01
-0.509,1873/04/01
-0.411,1873/05/01
-0.253,1873/06/01
-0.147,1873/07/01
-0.168,1873/08/01
-0.362,1873/09/01
-0.406,1873/10/01
-0.471,1873/11/01
-0.283,1873/12/01
0.055,1874/01/01
-0.454,1874/02/01
-0.561,1874/03/01
-0.506,1874/04/01
-0.467,1874/05/01
-0.452,1874/06/01
-0.169,1874/07/01
-0.366,1874/08/01
-0.219,1874/09/01
-0.438,1874/10/01
-0.508,1874/11/01
-0.408,1874/12/01
-0.59,1875/01/01
-0.63,1875/02/01
-0.635,1875/03/01
-0.49,1875/04/01
-0.181,1875/05/01
-0.242,1875/06/01
-0.325,1875/07/01
-0.193,1875/08/01
-0.292,1875/09/01
-0.368,1875/10/01
-0.515,1875/11/01
-0.506,1875/12/01
-0.318,1876/01/01
-0.274,1876/02/01
-0.378,1876/03/01
-0.301,1876/04/01
-0.541,1876/05/01
-0.286,1876/06/01
-0.136,1876/07/01
-0.246,1876/08/01
-0.447,1876/09/01
-0.391,1876/10/01
-0.587,1876/11/01
-0.723,1876/12/01
-0.336,1877/01/01
0.065,1877/02/01
-0.291,1877/03/01
-0.305,1877/04/01
-0.438,1877/05/01
-0.085,1877/06/01
0.003,1877/07/01
0.141,1877/08/01
0.026,1877/09/01
0.057,1877/10/01
0.101,1877/11/01
0.158,1877/12/01
0.168,1878/01/01
0.395,1878/02/01
0.348,1878/03/01
0.334,1878/04/01
-0.077,1878/05/01
0.014,1878/06/01
-0.052,1878/07/01
-0.029,1878/08/01
0.017,1878/09/01
-0.129,1878/10/01
-0.215,1878/11/01
-0.37,1878/12/01
-0.207,1879/01/01
-0.161,1879/02/01
-0.095,1879/03/01
-0.217,1879/04/01
-0.198,1879/05/01
-0.266,1879/06/01
-0.232,1879/07/01
-0.168,1879/08/01
-0.214,1879/09/01
-0.12,1879/10/01
-0.388,1879/11/01
-0.515,1879/12/01
-0.061,1880/01/01
-0.174,1880/02/01
-0.101,1880/03/01
-0.146,1880/04/01
-0.248,1880/05/01
-0.298,1880/06/01
-0.249,1880/07/01
-0.115,1880/08/01
-0.235,1880/09/01
-0.387,1880/10/01
-0.408,1880/11/01
-0.298,1880/12/01
-0.368,1881/01/01
-0.24,1881/02/01
-0.188,1881/03/01
-0.127,1881/04/01
-0.018,1881/05/01
-0.221,1881/06/01
-0.155,1881/07/01
-0.133,1881/08/01
-0.249,1881/09/01
-0.286,1881/10/01
-0.339,1881/11/01
-0.13,1881/12/01
0.116,1882/01/01
0,1882/02/01
-0.051,1882/03/01
-0.279,1882/04/01
-0.368,1882/05/01
-0.314,1882/06/01
-0.187,1882/07/01
-0.221,1882/08/01
-0.159,1882/09/01
-0.331,1882/10/01
-0.307,1882/11/01
